,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
3758,187.681,118.851,86,169,343.637,1818.362,343.707,1818.328,49.806,15.892,15.037,28.881,16.159,335.616,1819.687,9.762,15.088
3759,35.361,128.335,101,162,358.798,1813.89,358.798,1813.895,23.318,8.931,5.041,72.302,8.805,358.218,1818.146,76.504,5.095
3760,24.16,129.149,104,157,316.127,1774.975,316.182,1774.969,19.407,6.748,4.558,0.484,6.987,312.499,1775.68,17.103,4.795
3761,592.48,120.413,84,177,303.912,1807.791,303.903,1807.772,88.394,28.32,26.638,120.526,28.625,294.52,1797.256,131.605,26.947
3762,25.538,127.031,108,160,321.856,1820.584,321.817,1820.476,24.935,7.722,4.211,119.41,8.448,319.691,1817.461,107.7,5.186
3763,109.981,106.766,86,159,287.67,1828.11,287.634,1828.072,39.479,14.401,9.724,149.632,14.188,281.677,1824.653,150.341,9.5
3764,275.877,110.963,86,163,304.254,1833.961,304.238,1833.915,60.553,19.972,17.588,62.478,20.227,302.054,1843.831,76.787,17.758
3765,864.164,126.659,82,176,332.759,1845.189,332.738,1845.177,106.699,34.67,31.736,72.378,35.039,327.396,1861.981,70.591,31.463
3766,322.849,112.669,84,169,358.272,1831.662,358.274,1831.697,65.425,20.822,19.742,108.117,21.368,354.28,1821.571,111.631,19.595
3767,161.879,103.572,82,147,361.319,1850.005,361.516,1849.935,46.599,14.809,13.918,145.129,15.293,354.794,1845.372,145.954,13.837
3768,41.547,133.557,107,164,373.791,1860.963,373.813,1860.991,25.03,9.102,5.812,132.091,9.522,369.862,1858.043,142.306,6.119
3769,571.633,122.189,85,176,352.15,1869.375,352.169,1869.359,86.855,27.326,26.635,80.543,28.142,349.314,1883.728,82.659,26.691
3770,379.554,121.465,81,174,301.173,1860.195,301.197,1860.196,70.728,22.819,21.178,29.693,23.493,291.095,1866.091,30.677,21.31
3771,198.236,111.262,85,170,278.086,1869.857,278.023,1869.787,51.779,16.711,15.104,62.469,16.907,271.232,1874.653,33.851,15.06
3772,333.609,107.885,91,163,292.878,1880.732,292.864,1880.709,66.425,21.444,19.808,44.163,22.28,284.588,1888.694,44.377,19.982
3773,1004.668,123.799,84,176,322.982,1881.24,322.891,1881.328,114.236,37.137,34.445,102.353,37.641,315.41,1863.694,113.883,34.576
3774,196.301,108.437,82,160,344.38,1900.705,344.429,1900.626,51.22,16.834,14.847,104.614,17.203,340.239,1893.317,112.225,15.068
3775,1046.128,120.364,80,177,297.097,1909.397,297.043,1909.395,116.886,36.908,36.089,119.346,37.656,296.232,1928.591,84.782,35.996
3776,398.906,97.774,82,154,329.289,1912.92,329.3,1912.914,73.422,24.669,20.589,122.62,24.961,323.116,1901.707,120.964,20.254
3777,810.156,105.847,74,173,353.819,1933.726,353.627,1933.727,103.33,32.593,31.648,130.247,33.452,339.896,1924.139,148.181,31.672
3778,484.903,114.175,83,175,318.764,1935.968,318.778,1935.943,81.717,28.029,22.027,15.997,28.116,306.506,1943.488,34.077,22.182
3779,29.995,129.542,107,161,298.953,1935.777,298.947,1935.784,20.946,7.772,4.914,154.314,7.856,295.205,1934.413,159.59,5.058
3780,33.191,121.916,104,155,296.307,1942.335,296.314,1942.357,24.216,10.124,4.174,130.791,9.698,292.636,1938.865,132.138,4.328
3781,211.196,111.42,90,161,285.976,1947.622,285.929,1947.632,53.097,16.929,15.884,100.083,17.336,283.561,1939.379,106.645,15.903
3782,697.506,125.965,89,178,304.568,1963.681,304.528,1963.693,95.951,30.519,29.1,87.538,31.175,296.403,1950.166,117.832,29.163
3783,206.094,128.209,89,174,335.422,1953.064,335.424,1953.048,53.072,18.48,14.2,42.151,19.05,327.396,1958.385,35.119,14.648
3784,159.093,117.545,88,171,323.652,1974.719,323.661,1974.717,46.764,16.131,12.558,78.75,16.299,321.917,1982.529,80.933,13.014
3785,219.494,123.202,92,175,338.372,1969.371,338.338,1969.409,54.556,17.838,15.667,70.346,18.933,335.102,1977.906,65.985,16.237
3786,789.045,132.775,87,179,285.099,1989.912,285.009,1989.927,101.814,32.128,31.27,109.751,32.984,276.027,1975.68,119.892,31.336
3787,68.229,120.681,95,167,309.642,1985.334,309.645,1985.313,32.199,11.385,7.63,31.667,11.423,305.136,1988.865,40.135,8.138
3788,641.123,121.886,84,176,339.447,1996.312,339.485,1996.465,93.97,33.328,24.493,119.284,33.119,327.91,1984.07,131.437,24.049
3789,205.244,118.294,83,173,360.306,2008.354,360.306,2008.341,53.922,18.333,14.254,31.577,18.671,354.451,2015.919,47.974,14.713
3790,801.477,119.568,87,174,360.794,1980.953,360.862,1980.798,106.29,38.608,26.432,114.414,38.163,354.965,1962.837,114.38,26.472
3791,792.036,129.734,90,180,315.065,2007.168,314.978,2007.112,102.918,34.299,29.402,122.633,34.271,303.595,1994.344,136.012,29.126
3792,316.721,129.015,88,177,367.355,2024.235,367.355,2024.264,64.849,20.226,19.938,38.882,20.895,357.02,2021.741,167.217,19.442
3793,15.98,129.446,117,155,360.872,2038.192,360.861,2038.184,22.345,5.364,3.793,36.936,6.233,359.246,2040.406,52.815,4.903
3794,719.585,121.429,84,177,341.877,2029.635,341.71,2029.447,97.594,30.703,29.841,122.98,31.242,330.479,2019.173,140.114,29.969
3795,134.875,126.945,94,172,299.614,2021.037,299.605,2021.049,44.207,16.44,10.446,132.422,16.495,294.349,2014.378,131.634,10.431
3796,134.962,120.273,106,162,289.504,2027.318,289.525,2027.326,43.674,15.934,10.784,122.967,16.184,284.588,2020.714,119.82,10.717
3797,664.433,119.155,83,175,313.024,2041.393,313.031,2041.617,93.3,30.108,28.099,136.259,30.445,303.253,2030.132,131.58,27.917
3798,136.868,122.777,102,165,353.754,2051.356,353.668,2051.319,43.49,15.007,11.612,157.514,15.698,345.89,2049.138,166.115,11.813
3799,521.437,127.422,90,178,368.23,2075.522,368.261,2075.591,82.621,26.45,25.101,129.063,27.196,362.157,2063.693,118.179,25.368
3800,863.695,133.687,92,180,335.446,2067.801,335.354,2067.823,106.672,34.33,32.033,153.214,34.892,318.15,2064.549,168.966,32.212
3801,169.473,126.022,97,175,362.508,2121.361,362.484,2121.326,47.708,14.968,14.416,41.328,15.528,357.705,2127.392,48.576,14.4
3802,779.164,124.563,83,174,273.989,1803.285,273.934,1803.266,101.316,32.321,30.694,112.432,33.057,266.266,1788.865,122.949,30.805
3803,659.448,124.821,83,179,255.707,1828.856,255.561,1828.7,93.093,29.485,28.477,93.849,30.032,253.766,1814.208,97.206,28.399
3804,555.8,121.384,81,175,280.6,1844.885,280.577,1844.913,85.62,27.909,25.356,117.468,29.028,274.314,1831.673,115.507,25.862
3805,720.113,127.594,81,176,255.168,1859.691,255.045,1859.686,96.838,30.727,29.84,143.401,31.444,245.205,1847.084,130.804,29.996
3806,928.171,125.902,80,177,264.043,1892.093,263.932,1892.226,110.229,34.655,34.102,35.522,35.374,247.602,1897.598,20.102,34.163
3807,907.031,121.645,84,176,267.658,1928.386,267.496,1928.435,109.357,34.97,33.025,114.651,35.697,265.068,1946.057,81.17,32.515
3808,296.167,120.78,94,164,274.286,1964.15,274.26,1964.246,62.267,19.966,18.886,123.146,20.393,266.78,1957.358,139.086,18.917
3809,251.717,113.566,86,160,1255.78,1729.37,1255.797,1729.363,58.049,19.109,16.772,119.762,19.987,1251.195,1720.201,117.004,17.276
3810,932.95,123.305,74,169,1235.284,1751.004,1235.274,1750.996,111.08,35.253,33.696,126.214,36.474,1225.511,1735.098,118.61,33.901
3811,775.822,114.676,80,159,1278.304,1748.319,1278.159,1748.304,106.302,39.737,24.859,117.929,40.822,1266.949,1733.043,121.623,26.164
3812,952.331,115.333,87,163,1265.319,1773.43,1265.133,1773.529,119.675,43.097,28.135,131.092,44.669,1255.134,1752.564,121.679,27.415
3813,178.943,113.136,84,165,1270.057,1801.814,1270.067,1801.817,48.577,15.343,14.849,101.807,15.717,1266.264,1794.858,113.772,14.726
3814,1191.704,116.657,59,168,1242.725,1799.538,1242.667,1799.546,127.453,42.596,35.621,122.425,44.272,1229.963,1782.016,124.919,35.899
3815,725.126,124.206,80,168,1213.527,1772.338,1213.573,1772.344,102.067,37.766,24.447,122.418,37.39,1201.88,1756.16,122.089,25.392
3816,140.387,96.999,77,142,1220.855,1807.685,1220.789,1807.671,45.334,16.561,10.793,121.019,16.662,1218.319,1799.995,112.348,10.998
3817,377.062,117.664,85,166,1201.605,1804.387,1201.645,1804.456,76.701,23.829,20.147,142.984,26.048,1188.696,1798.797,140.87,20.663
3818,146.573,96.605,84,147,1215.992,1818.984,1215.999,1818.962,44.8,15.186,12.289,172.82,15.38,1208.73,1821.742,11.56,12.671
3819,1046.656,120.592,82,169,1251.04,1839.754,1251.143,1839.863,118.913,40.575,32.844,107.6,40.631,1239.038,1822.769,119.266,32.108
3820,1471.217,117.818,76,175,1247.458,2422.015,1247.555,2422.637,148.21,50.471,37.115,93.907,51.881,1236.298,2400.507,114.366,37.425
3821,188.502,98.718,70,153,1227.845,2450.338,1227.791,2450.303,52.764,19.779,12.135,56.142,19.713,1222.257,2458.384,57.414,11.986
3822,811.739,121.381,74,171,1245.204,2464.35,1245.323,2464.286,105.371,34.641,29.835,47.43,36.864,1235.442,2480.644,57.713,30.314
3823,935.355,94.43,68,160,1216.227,2482.111,1216.259,2482.393,119.084,43.501,27.377,75.659,44.095,1212.326,2502.562,79.257,27.888
3824,984.877,96.342,77,156,1247.144,2495.349,1247.085,2495.632,117.782,40.452,31,40.381,40.459,1229.106,2502.904,24.504,31.413
3825,1148.368,94.631,60,154,1222.41,2524.808,1222.166,2524.701,129.506,42.631,34.298,43.788,44.357,1202.052,2534.411,19.624,34.403
3826,1137.754,98.249,76,160,1217.823,2564.788,1217.708,2565.038,126.699,43.97,32.946,63.326,45.035,1201.709,2579.959,50.864,33.675
3827,1149.014,122.986,77,175,1239.988,2589.909,1239.708,2589.982,126.954,45.724,31.996,37.065,45.549,1222.942,2605.986,46.828,32.449
3828,1204.547,121.968,73,171,1217.936,1846.628,1217.867,1846.619,129.085,43.164,35.532,97.542,44.255,1206.846,1827.564,121.23,35.433
3829,741.135,118.737,82,168,1278.022,1864.632,1278.009,1864.65,98.577,31.822,29.654,62.165,32.395,1273.456,1880.303,76.551,29.786
3830,906.767,122.93,79,171,1218.401,1887.187,1218.444,1887.113,114.182,35.396,32.618,2.842,37.338,1200.682,1895.885,29.386,32.023
3831,895.713,118.486,80,171,1249.889,1885.762,1249.962,1885.795,109.416,37.249,30.617,91.511,37.556,1247.257,1904.79,86.864,30.822
3832,1023.873,124.514,80,171,1280.625,1900.687,1280.599,1900.636,116.894,36.199,36.013,162.185,37.546,1270.887,1884.927,128.333,36.011
3833,1236.154,128.244,83,174,1215.735,1920.884,1215.689,1921.01,129.058,41.24,38.165,94.269,42.996,1204.62,1901.536,114.217,36.97
3834,399.317,103.118,85,151,1197.425,1947.687,1197.462,1947.734,75.082,26.355,19.291,85.236,26.638,1195.031,1961.125,81.87,19.833
3835,869.296,110.554,80,170,1249.688,1927.733,1249.616,1927.587,110.592,36.007,30.739,91.49,37.459,1245.202,1910.44,111.169,30.079
3836,868.035,123.646,78,170,1279.486,1934.349,1279.43,1934.434,107.746,35.588,31.056,62.106,36.34,1270.716,1950.166,60.657,30.763
3837,1033.754,120.625,79,173,1238.101,1960.344,1238.008,1960.443,117.611,37.536,35.065,74.887,37.908,1224.312,1973.454,40.236,35.213
3838,273.766,100.417,85,140,1211.439,1959.08,1211.482,1958.936,61.984,21.506,16.208,72.35,21.409,1209.928,1968.83,82.648,16.304
3839,1254.597,129.55,74,172,1274.664,1972.706,1274.541,1972.735,128.457,41.188,38.783,63.572,41.86,1269.346,1993.317,70.898,38.783
3840,951.628,124.474,85,173,1220.324,1994.399,1220.274,1994.5,113.6,38.541,31.438,71.462,39.171,1214.209,2013.18,77.118,30.99
3841,1094.184,122.171,85,174,1252.317,2004.815,1252.403,2004.864,120.328,38.653,36.043,88.438,39.492,1244.346,1985.782,111.894,35.952
3842,978.603,117.992,85,169,1235.556,2053.171,1235.633,2053.407,115.624,38.518,32.349,109.058,38.315,1231.504,2071.227,82.811,33.077
3843,182.051,119.013,86,168,1208.797,2060.371,1208.796,2060.336,51.367,15.556,14.9,13.113,16.758,1200.168,2061.296,7.633,14.956
3844,108.897,105.769,90,147,1195.554,2065.361,1195.568,2065.389,63.921,14.095,9.837,126.416,15.698,1192.805,2058.385,116.565,10.8
3845,168.476,113.153,85,163,1239.277,2080.401,1239.233,2080.48,47.378,15.334,13.99,100.026,15.653,1237.839,2088.179,79.919,14.087
3846,899.496,123.453,86,171,1218.015,2088.433,1218.05,2088.466,111.679,36.243,31.6,104.275,36.988,1212.326,2070.371,107.512,31.528
3847,970.833,100.533,79,164,1224.448,2160.165,1224.422,2160.687,113.274,37.632,32.847,64.074,38.662,1218.148,2178.248,71.405,33.52
3848,988.806,103.773,77,167,1223.844,2200.444,1223.787,2200.656,119.769,40.202,31.316,84.639,41.192,1226.195,2220.2,81.634,32.032
3849,1094.741,115.731,78,171,1211.397,2234.132,1210.946,2234.157,120.422,38.01,36.671,130.262,38.752,1202.737,2216.775,117.358,36.656
3850,240.165,111.133,84,159,1235.854,2239.911,1235.857,2240.072,65.999,26.016,11.754,79.281,26.425,1230.647,2251.706,71.095,12.859
3851,972.944,115.838,68,171,1233.767,2274.144,1233.563,2274.63,116.083,38.319,32.329,88.135,38.983,1228.079,2256.33,117.466,31.497
3852,964.675,111.349,74,172,1235.538,2307.053,1235.516,2306.993,116.674,41.387,29.677,14.444,41.465,1217.463,2317.117,22.329,29.806
3853,1145.173,107.02,75,167,1239.979,2338.585,1239.958,2338.215,126.564,42.091,34.641,47.5,44.324,1227.737,2356.672,57.783,35.925
3854,915.651,112.76,79,171,1213.43,2386.624,1213.468,2386.778,113.13,37.352,31.212,108.795,38.086,1196.743,2377.049,142.306,30.313
3855,1044.603,98.935,74,162,1244.033,2376.667,1244.055,2376.731,119.749,39.603,33.584,83.288,40.249,1239.209,2396.912,74.959,34.015
